Date,"('CLOSE', 'BTC-USD')","('HIGH', 'BTC-USD')","('LOW', 'BTC-USD')","('OPEN', 'BTC-USD')","('VOLUME', 'BTC-USD')"
2021-05-19,37002.441406,43546.117188,30681.496094,42944.976562,126358098747
2021-05-20,40782.738281,42462.984375,35050.617188,36753.667969,88281943359
2021-05-21,37304.691406,42172.171875,33616.453125,40596.949219,82051616861
2021-05-22,37536.632812,38831.054688,35383.683594,37371.031250,57377273240
2021-05-23,34770.582031,38289.218750,31227.339844,37531.449219,78469274361
2021-05-24,38705.980469,39835.140625,34551.082031,34700.363281,67359584098
2021-05-25,38402.222656,39776.351562,36581.429688,38795.781250,56211915803
2021-05-26,39294.199219,40782.078125,37905.835938,38392.625000,51346735160
2021-05-27,38436.968750,40379.617188,37247.902344,39316.890625,43210968721
2021-05-28,35697.605469,38856.968750,34779.039062,38507.082031,55200191952
2021-05-29,34616.066406,37234.500000,33693.929688,35684.156250,45231013335
2021-05-30,35678.128906,36400.667969,33520.738281,34607.406250,31646080921
2021-05-31,37332.855469,37468.250000,34241.945312,35658.593750,39009847639
2021-06-01,36684.925781,37896.734375,35787.085938,37293.792969,34639423297
2021-06-02,37575.179688,38231.339844,35966.308594,36699.921875,33070867190
2021-06-03,39208.765625,39478.953125,37243.972656,37599.410156,35460750427
2021-06-04,36894.406250,39242.484375,35717.722656,39242.484375,41831090187
2021-06-05,35551.957031,37917.714844,34900.414062,36880.156250,35959473399
2021-06-06,35862.378906,36436.421875,35304.578125,35538.609375,28913440585
2021-06-07,33560.707031,36790.570312,33480.640625,35835.265625,33683936663
2021-06-08,33472.632812,34017.386719,31114.443359,33589.519531,49902050442
2021-06-09,37345.121094,37537.371094,32475.865234,33416.976562,53972919008
2021-06-10,36702.597656,38334.324219,35847.593750,37389.515625,43576032854
2021-06-11,37334.398438,37608.695312,36044.449219,36697.031250,38699736985
2021-06-12,35552.515625,37408.925781,34728.191406,37340.144531,37924228550
2021-06-13,39097.859375,39322.781250,34864.109375,35555.789062,40669112838
2021-06-14,40218.476562,40978.363281,38757.285156,39016.968750,43148914673
2021-06-15,40406.269531,41295.269531,39609.468750,40427.167969,46420149185
2021-06-16,38347.062500,40516.777344,38176.035156,40168.691406,39211635100
2021-06-17,38053.503906,39513.671875,37439.675781,38341.421875,37096670047
2021-06-18,35787.246094,38187.261719,35255.855469,38099.476562,36200887275
2021-06-19,35615.871094,36457.796875,34933.062500,35854.527344,31207279719
2021-06-20,35698.296875,36059.484375,33432.074219,35563.140625,36664034054
2021-06-21,31676.693359,35721.640625,31295.935547,35641.144531,52809038594
2021-06-22,32505.660156,33292.453125,28893.621094,31622.376953,58964353058
2021-06-23,33723.027344,34753.410156,31772.632812,32515.714844,46317108925
2021-06-24,34662.437500,35228.851562,32385.214844,33682.800781,33123368116
2021-06-25,31637.779297,35487.246094,31350.884766,34659.105469,40230904226
2021-06-26,32186.277344,32637.587891,30184.501953,31594.664062,38585385521
2021-06-27,34649.644531,34656.128906,32071.757812,32287.523438,35511640894
2021-06-28,34434.335938,35219.890625,33902.074219,34679.121094,33892523752
2021-06-29,35867.777344,36542.109375,34252.484375,34475.558594,37901460044
2021-06-30,35040.835938,36074.757812,34086.152344,35908.386719,34059036099
2021-07-01,33572.117188,35035.984375,32883.781250,35035.984375,37838957079
2021-07-02,33897.046875,33939.589844,32770.679688,33549.601562,38728974942
2021-07-03,34668.546875,34909.261719,33402.695312,33854.421875,24383958643
2021-07-04,35287.781250,35937.566406,34396.476562,34665.566406,24924307911
2021-07-05,33746.003906,35284.343750,33213.660156,35284.343750,26721554282
2021-07-06,34235.195312,35038.535156,33599.917969,33723.507812,26501259870
2021-07-07,33855.328125,34997.664062,33839.289062,34225.679688,24796027477
2021-07-08,32877.371094,33907.906250,32133.183594,33889.605469,29910396946
2021-07-09,33798.011719,34042.292969,32318.880859,32861.671875,27436021028
2021-07-10,33520.519531,34209.070312,33116.011719,33811.242188,22971873468
2021-07-11,34240.187500,34584.703125,33346.738281,33509.078125,20108729370
2021-07-12,33155.847656,34592.156250,32697.308594,34254.015625,24321499537
2021-07-13,32702.025391,33327.101562,32261.419922,33125.468750,19120856669
2021-07-14,32822.347656,33061.398438,31639.125000,32723.845703,21376531210
2021-07-15,31780.730469,33159.640625,31175.708984,32827.875000,21300524237
2021-07-16,31421.539062,32218.406250,31100.673828,31841.550781,23699476918
2021-07-17,31533.068359,31935.945312,31223.990234,31397.308594,18895018942
2021-07-18,31796.810547,32398.996094,31215.492188,31533.884766,18787986667
2021-07-19,30817.832031,31885.859375,30563.734375,31800.011719,20434789545
2021-07-20,29807.347656,31006.187500,29360.955078,30838.285156,23148267245
2021-07-21,32110.693359,32752.326172,29526.183594,29796.285156,28203024559
2021-07-22,32313.105469,32576.400391,31745.298828,32138.873047,19555230518
2021-07-23,33581.550781,33581.550781,32057.892578,32305.958984,22552046192
2021-07-24,34292.445312,34490.390625,33424.859375,33593.730469,21664706865
2021-07-25,35350.187500,35364.925781,33881.835938,34290.292969,20856685287
2021-07-26,37337.535156,40499.675781,35287.312500,35384.031250,51022126212
2021-07-27,39406.941406,39406.941406,36441.726562,37276.035156,35097370560
2021-07-28,39995.906250,40816.070312,38862.437500,39503.187500,38702404695
2021-07-29,40008.421875,40593.070312,39352.058594,39995.453125,27167146027
2021-07-30,42235.546875,42235.546875,38397.355469,40027.484375,33072782960
2021-07-31,41626.195312,42231.449219,41110.832031,42196.304688,25802845343
2021-08-01,39974.894531,42541.679688,39540.941406,41460.843750,26688438115
2021-08-02,39201.945312,40419.179688,38746.347656,39907.261719,25595265436
2021-08-03,38152.980469,39750.031250,37782.050781,39178.402344,26189830450
2021-08-04,39747.503906,39952.296875,37589.164062,38213.332031,25372562724
2021-08-05,40869.554688,41341.933594,37458.003906,39744.515625,35185031017
2021-08-06,42816.500000,43271.660156,39932.179688,40865.867188,38226483046
2021-08-07,44555.800781,44689.859375,42618.566406,42832.796875,40030862141
2021-08-08,43798.117188,45282.351562,43331.910156,44574.437500,36302664750
2021-08-09,46365.402344,46456.832031,42848.687500,43791.925781,38734079049
2021-08-10,45585.031250,46637.988281,44705.554688,46280.847656,33546019517
2021-08-11,45593.636719,46735.632812,45351.710938,45599.703125,34319709073
2021-08-12,44428.289062,46228.910156,43861.445312,45576.878906,33723620826
2021-08-13,47793.320312,47831.976562,44282.417969,44439.691406,31744259539
2021-08-14,47096.945312,48098.683594,46177.632812,47810.687500,31211354442
2021-08-15,47047.003906,47357.105469,45579.589844,47096.667969,30988958446
