Date,"('CLOSE', 'USO')","('HIGH', 'USO')","('LOW', 'USO')","('OPEN', 'USO')","('VOLUME', 'USO')"
2022-09-01,70.949997,72.720001,70.800003,72.089996,4319300
2022-09-02,71.430000,73.220001,71.300003,73.180000,4050300
2022-09-06,71.419998,72.449997,71.150002,72.339996,5250400
2022-09-07,67.620003,69.720001,67.589996,69.169998,7540200
2022-09-08,68.089996,69.279999,67.650002,68.540001,4277100
2022-09-09,71.099998,71.610001,70.029999,70.330002,4953600
2022-09-12,72.370003,73.209999,72.070000,72.629997,3710000
2022-09-13,72.010002,72.730003,70.099998,72.110001,6056900
2022-09-14,72.730003,73.720001,72.250000,72.720001,2594400
2022-09-15,69.760002,71.150002,69.339996,71.089996,3898100
2022-09-16,69.900002,70.809998,69.440002,70.330002,3384500
2022-09-19,70.050003,70.269997,67.489998,67.620003,2863900
2022-09-20,69.220001,69.589996,68.410004,69.540001,3569200
2022-09-21,68.680000,70.620003,68.099998,70.489998,4537900
2022-09-22,68.970001,70.809998,68.529999,70.419998,2928800
2022-09-23,65.320000,65.900002,64.650002,65.889999,5923200
2022-09-26,63.200001,66.250000,63.150002,65.370003,5064500
2022-09-27,64.419998,65.529999,63.689999,64.300003,3273500
2022-09-28,67.129997,67.339996,64.949997,65.260002,2603400
2022-09-29,66.769997,67.760002,66.250000,67.309998,2762700
2022-09-30,65.279999,66.500000,64.849998,65.639999,2397100
2022-10-03,67.889999,68.900002,67.169998,68.599998,5256000
2022-10-04,70.279999,71.000000,69.309998,69.910004,6673400
2022-10-05,71.940002,72.160004,69.870003,71.160004,4927200
2022-10-06,72.989998,73.040001,71.610001,71.739998,2981200
2022-10-07,75.099998,75.849998,73.250000,73.269997,4670000
2022-10-10,73.779999,76.110001,73.599998,75.290001,3511500
2022-10-11,71.750000,73.070000,71.400002,72.559998,2476200
2022-10-12,70.930000,71.599998,70.199997,71.419998,2338900
2022-10-13,72.519997,72.870003,70.370003,70.389999,2304000
2022-10-14,70.169998,71.720001,69.750000,71.400002,2518900
2022-10-17,70.129997,71.480003,69.779999,71.169998,3255400
2022-10-18,68.699997,69.779999,67.849998,69.360001,3291200
2022-10-19,70.040001,70.570000,68.550003,68.870003,3094900
2022-10-20,70.180000,71.879997,69.709999,71.089996,2545800
2022-10-21,70.570000,70.989998,69.459999,70.150002,1564300
2022-10-24,70.379997,71.180000,69.800003,70.239998,1722400
2022-10-25,70.610001,71.449997,70.230003,70.589996,1517400
2022-10-26,72.970001,73.139999,71.349998,71.360001,3435400
2022-10-27,73.620003,74.089996,73.110001,73.690002,1308800
2022-10-28,72.820000,73.300003,72.029999,72.709999,1511200
2022-10-31,71.529999,72.639999,70.720001,71.389999,3088100
2022-11-01,73.120003,73.889999,72.660004,73.800003,4586900
2022-11-02,74.080002,74.879997,72.790001,73.120003,2796300
2022-11-03,73.290001,74.010002,72.860001,73.050003,1482000
2022-11-04,76.820000,76.940002,75.500000,76.540001,3679900
2022-11-07,76.559998,77.720001,76.220001,76.839996,2231400
