date,ticker,q_stop,stop_reason,regime,lambda1,lambda_int,delta_lambda,rs_value,sigma_lo,sigma_hi,sigma_center,window,alpha,adjacency,laplacian,n_nodes,n_edges,n_components,lcc_fraction,zero_degree_fraction,data_hash,prices_file_mtime,git_commit,tau,delta_ds_max,r2_exp,r2_power
2009-04-17,SPX,0.01,gap,Degenerate,0.0,0.5211306237906108,0.5211306237906108,0.9858120130666338,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,25000,2,0.9960474308300395,0.003952569169960474,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.014289598675722541,0.2117305389810613,0.9997260660450435,0.9996872481605739
2009-04-20,SPX,0.01,gap,Degenerate,0.0,0.5602555190965676,0.5602555190965676,0.9847549819003709,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,25860,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.015362418093021687,0.23752892182373886,0.999676355234334,0.9996321473740071
2009-04-21,SPX,0.01,gap,Degenerate,2.116964457249347e-14,0.37271798660099364,0.3727179866009725,0.9898319793667524,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,25276,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.0102200680685601,0.23078343159006032,0.9996071701817586,0.9995745035618442
2009-04-22,SPX,0.02,gap,Degenerate,2.6413900992708015e-14,0.640427263396826,0.6404272633967996,0.9825925338635142,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,24396,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.017560757624193183,0.21475842188045102,0.999641136307071,0.9995858194738417
2009-04-23,SPX,0.02,gap,Degenerate,0.0,0.5976147811003559,0.5976147811003559,0.9837467104170226,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,24252,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.016386823177820167,0.20863339390011104,0.999675287602454,0.9996264307004742
2009-04-24,SPX,0.02,gap,Degenerate,2.4142687637160653e-15,0.3664124120345187,0.3664124120345163,0.9900031373376097,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,23913,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.010047166830634184,0.22192674745146812,0.9996213632002027,0.9995896418815235
2009-04-27,SPX,0.02,gap,Degenerate,0.0,0.5731850289198398,0.5731850289198398,0.9844059165825987,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,23903,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01571695013933376,0.22397733780313067,0.999643635517528,0.9995951434250043
2009-04-28,SPX,0.02,gap,Degenerate,0.0,0.7424084749891622,0.7424084749891622,0.9798486862819356,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,21884,4,0.9881422924901185,0.011857707509881422,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02035712099182428,0.21783603705618892,0.9994799611758017,0.9993993162639618
2009-04-29,SPX,0.02,gap,Degenerate,4.3350711893098534e-15,0.7599260283597143,0.75992602835971,0.9793781408072946,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,22317,4,0.9881422924901185,0.011857707509881422,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02083745892634232,0.22683403850565864,0.9994945999766554,0.9994140601649496
2009-04-30,SPX,0.02,gap,Degenerate,0.0,0.6928657466188679,0.6928657466188679,0.9811806960056794,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,22082,4,0.9881422924901185,0.011857707509881422,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01899864065427979,0.22384600640377617,0.999477216869626,0.9994026734347717
2009-05-01,SPX,0.02,gap,Degenerate,0.0,0.4696968717480479,0.4696968717480479,0.9872033170732695,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,19873,4,0.9881422924901185,0.011857707509881422,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.012879265754335529,0.20532600048956717,0.9993932834143372,0.9993372316808651
2009-05-04,SPX,0.02,gap,Degenerate,1.0296852497104661e-14,0.3144700547299603,0.31447005472995004,0.9914141827079233,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,20257,3,0.9920948616600791,0.007905138339920948,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.008622887760725858,0.20946469567808013,0.9993581804918916,0.9993200947568831
2009-05-05,SPX,0.05,gap,Degenerate,0.0,0.9723086614254542,0.9723086614254542,0.9736911977901342,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,20269,4,0.9881422924901185,0.011857707509881422,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02666107099912299,0.21280457449683077,0.9992867912221884,0.999156330475902
