lambda1,delta_lambda,q_stop,regime,reason,rs_value,date
2.597378314674055e-15,0.6003692526344266,0.1,Degenerate,gap,0.9836724121613409,2008-07-03
0.0,0.6763757418349616,0.1,Degenerate,gap,0.9816244491089741,2008-07-07
0.0,0.7677841107050352,0.1,Degenerate,gap,0.9791671353776739,2008-07-08
0.0,0.6512508829252037,0.1,Degenerate,gap,0.9823009557181058,2008-07-09
0.0,0.7047698251123499,0.1,Degenerate,gap,0.9808604768294549,2008-07-10
0.0,0.5915533029878535,0.1,Degenerate,gap,0.9839102305996319,2008-07-11
0.0,0.6701334884381941,0.1,Degenerate,gap,0.9817924831866516,2008-07-14
0.0,0.5533578324181788,0.1,Degenerate,gap,0.9849412532914044,2008-07-15
0.0,0.5512147943584542,0.1,Degenerate,gap,0.9849991330097467,2008-07-16
4.3385851968866937e-16,0.4277755709511925,0.1,Degenerate,gap,0.9883387576940554,2008-07-17
1.0978036710728443e-15,0.419035482578977,0.1,Degenerate,gap,0.988575647912889,2008-07-18
7.938097569700206e-16,0.4780162514248401,0.1,Degenerate,gap,0.9869781414087928,2008-07-21
1.6108462201895114e-16,0.6039423371578484,0.1,Degenerate,gap,0.9835760412550314,2008-07-22
0.0,0.6903233236737198,0.1,Degenerate,gap,0.9812491006154647,2008-07-23
0.0,0.7641959767423564,0.1,Degenerate,gap,0.9792634784028906,2008-07-24
0.0,0.7740780054821824,0.1,Degenerate,gap,0.978998164341059,2008-07-25
0.0,0.6019349565822102,0.1,Degenerate,gap,0.9836301818530003,2008-07-28
0.0,0.6438712470749609,0.1,Degenerate,gap,0.9824997467904787,2008-07-29
0.0,0.6293842618670904,0.1,Degenerate,gap,0.9828901111530193,2008-07-30
0.0,0.6244814068521203,0.1,Degenerate,gap,0.9830222579516524,2008-07-31
2.47387030023492e-15,0.5983130755450208,0.1,Degenerate,gap,0.9837278743095721,2008-08-01
1.86885895797128e-15,0.5755865343834898,0.1,Degenerate,gap,0.9843410954026739,2008-08-04
0.0,0.6640494696427662,0.1,Degenerate,gap,0.9819562854555326,2008-08-05
7.019441944648009e-16,0.6442714045268721,0.1,Degenerate,gap,0.9824889664020223,2008-08-06
3.7745440227273e-15,0.6449786036728673,0.1,Degenerate,gap,0.9824699144870123,2008-08-07
1.3182971900756017e-15,0.8477377842859568,0.1,Degenerate,gap,0.9770228000024667,2008-08-08
4.976828167476967e-16,0.9096313078658469,0.1,Degenerate,gap,0.9753660580671295,2008-08-11
7.246454739589842e-17,0.9842682650046358,0.1,Degenerate,gap,0.9733719409162751,2008-08-12
8.567348905740823e-15,0.9564274264315988,0.1,Degenerate,gap,0.9741153029119453,2008-08-13
0.0,0.9696063369230739,0.1,Degenerate,gap,0.9737633497729372,2008-08-14
1.8827884695900178e-15,0.8960878941973183,0.1,Degenerate,gap,0.9757283426580552,2008-08-15
5.824879634988079e-15,0.8881119797492245,0.1,Degenerate,gap,0.975941760309223,2008-08-18
4.0712431423549846e-15,0.8747920838275322,0.1,Degenerate,gap,0.9762982750428537,2008-08-19
2.8614567898230407e-15,0.8304419296001578,0.1,Degenerate,gap,0.9774862716283613,2008-08-20
0.0,0.7908748696707707,0.1,Degenerate,gap,0.9785473647472177,2008-08-21
0.0,0.7694266152980531,0.1,Degenerate,gap,0.9791230365465607,2008-08-22
0.0,0.9377988133614207,0.1,Degenerate,gap,0.9746130116315042,2008-08-25
1.5533412391533455e-17,0.9233742387715416,0.1,Degenerate,gap,0.974998573917339,2008-08-26
8.2079548711409e-15,0.3315452421253652,0.05,Degenerate,gap,0.9909501032161439,2008-08-27
1.2546080884130973e-15,0.31975392627664384,0.05,Degenerate,gap,0.9912705513209141,2008-08-28
7.078570371578366e-15,0.3340091548637014,0.05,Degenerate,gap,0.9908831554830072,2008-08-29
6.374692600591602e-15,0.7059496862190824,0.1,Degenerate,gap,0.9808287443116679,2008-09-02
0.0,0.686646150547486,0.1,Degenerate,gap,0.9813480444372098,2008-09-03
1.9014809643603684e-15,0.21024062852774092,0.05,Degenerate,gap,0.994251707522042,2008-09-04
0.0,0.8276667454042124,0.1,Degenerate,gap,0.9775606578400085,2008-09-05
0.0,0.7977880026707576,0.1,Degenerate,gap,0.9783618881844771,2008-09-08
0.0,0.8361804866468016,0.1,Degenerate,gap,0.9773324729376133,2008-09-09
2.0496003292332867e-15,0.9209030377023699,0.1,Degenerate,gap,0.975064643294824,2008-09-10
6.359584487528094e-16,0.9604809010611381,0.1,Degenerate,gap,0.9740070381496226,2008-09-11
0.0,0.9514031771227479,0.1,Degenerate,gap,0.9742495129193597,2008-09-12
0.0,0.5845363831292911,0.05,Degenerate,gap,0.9840995596300871,2008-09-15
0.0,0.5010805871588352,0.05,Degenerate,gap,0.9863541413957276,2008-09-16
0.0,0.8027483275086066,0.05,Degenerate,gap,0.9782288263376625,2008-09-17
1.523757166505222e-15,0.2464982718006179,0.02,Degenerate,gap,0.993263715393153,2008-09-18
0.0022382554941018998,0.8430046317127369,0.05,Degenerate,gap,0.9771496109718489,2008-09-19
1.469032968402509e-14,0.22663704790020275,0.02,Degenerate,gap,0.9938047963871668,2008-09-22
0.0016319794750733977,0.9004064020158588,0.05,Degenerate,gap,0.9756128085131723,2008-09-23
0.0013923354389088973,0.911989749270453,0.05,Degenerate,gap,0.9753029838130336,2008-09-24
2.9013143777313e-14,0.22586448163129827,0.02,Degenerate,gap,0.9938258494297006,2008-09-25
0.0,0.9654304074581296,0.05,Degenerate,gap,0.9738748574788041,2008-09-26
0.0,0.5289140436312727,0.02,Degenerate,gap,0.985601639264327,2008-09-29
3.949227684949746e-14,0.5363171799389017,0.02,Degenerate,gap,0.9854015855955202,2008-09-30
0.0,0.537351871431702,0.02,Degenerate,gap,0.9853736285411401,2008-10-01
1.5624265783464402e-14,0.6822413345346925,0.02,Degenerate,gap,0.9814665805002432,2008-10-02
3.9121494227360635e-15,0.6674927258908059,0.02,Degenerate,gap,0.9818635780486433,2008-10-03
0.13160478166303285,0.7139594598668624,0.02,Degenerate,gap,0.9806133475480268,2008-10-06
0.1706445220720823,0.3602221483342611,0.01,Degenerate,gap,0.9901711941093481,2008-10-07
0.1732257213769722,0.3486564609711301,0.01,Degenerate,gap,0.9904852623633301,2008-10-08
0.15035226608456673,0.5328836562913729,0.01,Degenerate,gap,0.9854943640600561,2008-10-09
0.03432807905873008,0.5588247991590327,0.01,Degenerate,gap,0.9847936154641379,2008-10-10
0.3070438507471652,25.444938132441163,0.2,Critical,power,0.497723876296967,2008-10-13
0.26592034337487175,24.14949750235693,0.2,Critical,power,0.5157215199094736,2008-10-14
0.5170411303574297,29.8402981763298,0.2,Critical,power,0.44121091405121793,2008-10-15
0.5856431814866846,29.42247375434273,0.2,Critical,power,0.44629489266603045,2008-10-16
0.5687915965595951,28.938507636138386,0.2,Critical,power,0.45225693641765125,2008-10-17
0.10578859718658609,42.53741928542772,0.4,Critical,power,0.31148873203677213,2008-10-20
0.09041661173355443,41.64259859260408,0.4,Critical,power,0.3192260542862913,2008-10-21
0.07183178824865419,42.62912202981737,0.4,Critical,power,0.31070647009210933,2008-10-22
0.060747367659493214,41.23793011295668,0.4,Critical,power,0.3227879637280345,2008-10-23
0.023476370874628776,40.56927656774533,0.4,Critical,power,0.3287607825393701,2008-10-24
0.01970269023891911,40.790625209886905,0.4,Critical,power,0.32677142426805705,2008-10-27
0.014188554240030418,54.586786213028,0.6,Critical,power,0.2238474893581083,2008-10-28
0.004347284740644098,44.84945666332663,0.4,Critical,power,0.2923542423022488,2008-10-29
1.4210854715202004e-14,44.784279907108655,0.4,Critical,power,0.2928771965759318,2008-10-30
0.0,43.97080242677176,0.4,Critical,power,0.29948347981716794,2008-10-31
0.10072813123481716,41.96199007771697,0.4,Critical,power,0.3164425317052357,2008-11-03
0.23318723622094523,28.543378828265705,0.2,Critical,power,0.4571835918752485,2008-11-04
0.34201857542562797,42.53298969692172,0.4,Critical,power,0.3115265680646307,2008-11-05
0.7558919266679309,29.9605121516591,0.2,Critical,power,0.4397589393340368,2008-11-06
0.7937702864106515,30.700943735969517,0.2,Critical,power,0.4309205773044454,2008-11-07
0.45457410725174013,30.919655269093663,0.2,Critical,power,0.428344014455686,2008-11-10
